,All-Star,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
0,True,G,Bradley Beal 2018-19,25,East,24.7255,5.0588,5.098,0.7843,1.3725,51.0,0.4314
1,True,G,Stephen Curry 2018-19,30,West,29.55,5.1,5.4,0.35,1.175,40.0,0.7059
2,True,G,James Harden 2018-19,29,West,36.3404,6.6596,8.1277,0.7234,2.0851,47.0,0.58
3,True,G,Kyrie Irving 2018-19,26,East,23.6512,4.7907,6.9302,0.4651,1.7209,43.0,0.6275
4,True,G,Damian Lillard 2018-19,28,West,26.4118,4.5686,6.2549,0.4902,1.0784,51.0,0.6154
5,True,G,Kyle Lowry 2018-19,32,East,14.0952,4.4524,9.2381,0.5238,1.381,42.0,0.6981
6,True,G,Victor Oladipo 2018-19,26,East,18.75,5.6111,5.1667,0.3056,1.6667,36.0,0.6275
7,True,G,D'Angelo Russell 2018-19,22,East,19.6154,3.7885,6.4423,0.2885,1.1731,52.0,0.5283
8,True,G,Ben Simmons 2018-19,22,East,16.8431,9.4314,8.1373,0.7843,1.3137,51.0,0.6538
9,True,G,Klay Thompson 2018-19,28,West,21.7,4.0,2.04,0.64,1.18,50.0,0.7059
10,True,G,Dwyane Wade 2018-19,37,East,13.7949,3.6923,4.2821,0.4615,0.6154,39.0,0.4898
11,True,G,Kemba Walker 2018-19,28,East,24.38,4.24,5.56,0.54,1.22,50.0,0.48
12,True,G,Russell Westbrook 2018-19,30,West,21.6667,10.881,10.8095,0.3333,2.2857,42.0,0.64
13,True,G,Bradley Beal 2017-18,24,East,23.82,4.42,3.92,0.46,1.14,50.0,0.56
14,True,G,Stephen Curry 2017-18,29,West,27.7222,5.0556,6.5,0.1111,1.6111,36.0,0.7843
15,True,G,DeMar DeRozan 2017-18,28,East,24.449,4.102,5.1837,0.2653,1.1633,49.0,0.6939
16,True,G,Goran Dragić 2017-18,31,East,17.0435,4.0652,4.7826,0.2174,0.8478,46.0,0.5686
17,True,G,James Harden 2017-18,28,West,31.5952,5.0238,9.0714,0.6905,1.8571,42.0,0.7347
18,True,G,Kyrie Irving 2017-18,25,East,24.8542,3.7083,5.0,0.3125,1.1458,48.0,0.7115
19,True,G,Damian Lillard 2017-18,27,West,25.1818,4.6591,6.5455,0.4091,1.0,44.0,0.5686
20,True,G,Kyle Lowry 2017-18,31,East,16.413,5.9565,6.6304,0.1522,1.1739,46.0,0.6939
21,True,G,Victor Oladipo 2017-18,25,East,23.9149,5.1702,4.1064,0.8085,1.9149,47.0,0.5577
22,True,G,Klay Thompson 2017-18,27,West,20.34,4.02,2.56,0.62,0.72,50.0,0.7843
23,True,G,Kemba Walker 2017-18,27,East,22.4167,3.4792,5.8125,0.3333,1.1875,48.0,0.42
24,True,G,John Wall 2017-18,27,East,19.3514,3.5676,9.2703,1.1351,1.3243,37.0,0.56
25,True,G,Russell Westbrook 2017-18,29,West,25.4706,9.4314,10.0588,0.1765,2.0392,51.0,0.5882
26,True,G,Stephen Curry 2016-17,28,West,25.0213,4.2979,6.1702,0.1915,1.6383,47.0,0.8542
27,True,G,DeMar DeRozan 2016-17,27,East,27.7778,5.3556,3.8889,0.1778,1.1778,45.0,0.6122
28,True,G,James Harden 2016-17,27,West,28.4423,8.1538,11.4808,0.4808,1.4423,52.0,0.6923
29,True,G,Kyrie Irving 2016-17,24,East,24.4286,3.4048,5.7143,0.2143,1.2143,42.0,0.6809
30,True,G,Kyle Lowry 2016-17,30,East,23.0833,4.7292,6.9792,0.3333,1.5417,48.0,0.6122
31,True,G,Isaiah Thomas 2016-17,27,East,29.3864,2.7045,6.3636,0.1364,0.8864,44.0,0.625
32,True,G,Klay Thompson 2016-17,26,West,21.1064,3.7447,1.8936,0.4894,0.8298,47.0,0.8542
33,True,G,Kemba Walker 2016-17,26,East,23.25,4.1458,5.4792,0.2708,1.1875,48.0,0.4694
34,True,G,John Wall 2016-17,26,East,22.7391,4.4565,10.3261,0.4783,2.087,46.0,0.5833
35,True,G,Russell Westbrook 2016-17,28,West,30.7143,10.551,10.3061,0.3469,1.551,49.0,0.5714
36,True,G,Kobe Bryant 2015-16,37,West,15.875,4.025,3.45,0.2,0.95,40.0,0.18
37,True,G,Stephen Curry 2015-16,27,West,29.3696,5.2174,6.5,0.1957,2.1522,46.0,0.9167
38,True,G,DeMar DeRozan 2015-16,26,East,23.234,4.4255,4.1064,0.3404,1.0213,47.0,0.6809
39,True,G,James Harden 2015-16,26,West,27.9,6.28,6.96,0.66,1.5,50.0,0.5
40,True,G,Kyle Lowry 2015-16,29,East,20.9574,5.0426,6.3191,0.5106,2.2553,47.0,0.6809
41,True,G,Chris Paul 2015-16,30,West,18.7907,3.7674,9.5116,0.1628,2.0698,43.0,0.6667
42,True,G,Isaiah Thomas 2015-16,26,East,21.4898,2.9184,6.6122,0.0612,1.1429,49.0,0.551
43,True,G,Klay Thompson 2015-16,25,West,21.413,3.7826,2.3478,0.7391,0.4565,46.0,0.9167
44,True,G,Dwyane Wade 2015-16,34,East,18.7333,4.0889,4.7556,0.5556,1.0222,45.0,0.5625
45,True,G,John Wall 2015-16,25,East,19.5333,4.2889,9.8222,0.8,2.0889,45.0,0.4667
46,True,G,Russell Westbrook 2015-16,27,West,24.102,7.3061,9.898,0.2653,2.3878,49.0,0.7347
47,True,G,Kobe Bryant 2014-15,36,West,22.3429,5.6857,5.6286,0.2,1.3429,35.0,0.2766
48,True,G,Stephen Curry 2014-15,26,West,23.0222,4.7333,8.1333,0.2222,2.1333,45.0,0.8222
49,True,G,James Harden 2014-15,25,West,27.0208,5.625,6.8333,0.8125,2.0,48.0,0.6875
50,True,G,Kyrie Irving 2014-15,22,East,21.8478,3.1304,5.2174,0.3261,1.6087,46.0,0.5918
51,True,G,Kyle Korver 2014-15,33,East,13.1064,4.2128,2.7872,0.4468,0.6809,47.0,0.8333
52,True,G,Damian Lillard 2014-15,24,West,21.5833,4.625,6.3333,0.2708,1.4167,48.0,0.6667
53,True,G,Kyle Lowry 2014-15,28,East,19.3125,4.8542,7.3542,0.2083,1.625,48.0,0.6875
54,True,G,Chris Paul 2014-15,29,West,17.6875,4.7708,9.5833,0.1875,1.8958,48.0,0.6875
55,True,G,Jeff Teague 2014-15,26,East,16.75,2.6591,7.5455,0.4318,1.7045,44.0,0.8333
56,True,G,Klay Thompson 2014-15,24,West,22.7273,3.5909,2.9773,0.9318,1.2273,44.0,0.8222
57,True,G,Dwyane Wade 2014-15,33,East,21.4286,3.7714,5.3714,0.4286,1.0857,35.0,0.4348
58,True,G,John Wall 2014-15,24,East,17.4167,4.4583,10.1875,0.5833,2.0208,48.0,0.6458
59,True,G,Russell Westbrook 2014-15,26,West,24.8485,5.9394,7.3636,0.1212,2.2121,33.0,0.4894
60,True,G,Kobe Bryant 2013-14,35,West,13.8333,4.3333,6.3333,0.1667,1.1667,6.0,0.3404
61,True,G,Stephen Curry 2013-14,25,West,24.4667,4.4667,9.0,0.2444,1.8444,45.0,0.6042
62,True,G,DeMar DeRozan 2013-14,24,East,21.7045,4.6136,3.5682,0.4545,1.1818,44.0,0.5435
63,True,G,James Harden 2013-14,24,West,23.7,4.85,5.5,0.55,1.325,40.0,0.6458
64,True,G,Kyrie Irving 2013-14,21,East,21.5581,3.0698,6.1395,0.3488,1.2326,43.0,0.3478
65,True,G,Joe Johnson 2013-14,32,East,15.5581,3.3488,2.7674,0.186,0.5581,43.0,0.4545
66,True,G,Damian Lillard 2013-14,23,West,20.6304,3.5217,5.6087,0.3913,0.7174,46.0,0.7174
67,True,G,Tony Parker 2013-14,31,West,18.0714,2.381,6.2143,0.119,0.5476,42.0,0.7174
68,True,G,Chris Paul 2013-14,28,West,19.5588,4.6471,11.1765,0.0882,2.4412,34.0,0.6735
69,True,G,Dwyane Wade 2013-14,32,East,18.4063,4.6875,4.6563,0.625,1.7188,32.0,0.7111
70,True,G,John Wall 2013-14,23,East,19.8444,4.4222,8.4667,0.4444,1.9333,45.0,0.4889
71,True,G,Kobe Bryant 2012-13,34,West,28.1304,5.087,5.3478,0.2609,1.4348,46.0,0.4348
72,True,G,James Harden 2012-13,23,West,25.8723,4.4043,5.4255,0.5106,1.8511,47.0,0.5208
73,True,G,Jrue Holiday 2012-13,22,East,19.3902,4.1463,8.9024,0.3902,1.4878,41.0,0.4222
74,True,G,Kyrie Irving 2012-13,20,East,23.9429,3.6,5.5143,0.3429,1.7714,35.0,0.2826
75,True,G,Tony Parker 2012-13,30,West,20.1304,2.9348,7.4783,0.087,0.913,46.0,0.7708
76,True,G,Chris Paul 2012-13,27,West,16.641,3.5128,9.6923,0.0513,2.5641,39.0,0.7234
77,True,G,Rajon Rondo 2012-13,26,East,13.7368,5.5789,11.0526,0.2368,1.8421,38.0,0.4889
78,True,G,Dwyane Wade 2012-13,31,East,20.6842,4.5789,4.5526,0.7105,1.3947,38.0,0.6905
79,True,G,Russell Westbrook 2012-13,24,West,22.4783,5.4348,8.3261,0.2391,1.8696,46.0,0.7609
80,True,G,Kobe Bryant 2011-12,33,West,29.9545,6.0909,5.4091,0.4091,1.1818,22.0,0.5909
81,True,G,Andre Iguodala 2011-12,28,East,12.8571,6.5714,5.0,0.5238,1.9048,21.0,0.7143
82,True,G,Joe Johnson 2011-12,30,East,19.1364,3.9091,3.7273,0.3182,0.8636,22.0,0.7273
83,True,G,Steve Nash 2011-12,37,West,14.3333,2.3333,9.9444,0.0,0.5556,18.0,0.35
84,True,G,Tony Parker 2011-12,29,West,16.7273,2.9545,7.8182,0.0455,1.0,22.0,0.5909
85,True,G,Chris Paul 2011-12,26,West,18.0769,3.3846,8.9231,0.0769,2.4615,13.0,0.6667
86,True,G,Rajon Rondo 2011-12,25,East,15.0,5.0769,9.3846,0.0,1.6923,13.0,0.5
87,True,G,Derrick Rose 2011-12,23,East,23.3333,3.4444,7.8333,0.7778,0.9444,18.0,0.7826
88,True,G,Dwyane Wade 2011-12,30,East,20.0833,4.0,5.4167,1.5,2.1667,12.0,0.7619
89,True,G,Russell Westbrook 2011-12,23,West,21.3,4.7,5.75,0.2,2.15,20.0,0.8
90,True,G,Deron Williams 2011-12,27,East,20.2857,3.5714,8.4286,0.3333,1.0,21.0,0.3182
91,True,G,Ray Allen 2010-11,35,East,17.1915,3.5957,3.0638,0.1277,0.8936,47.0,0.766
92,True,G,Kobe Bryant 2010-11,32,West,25.4792,4.9583,4.75,0.0833,1.2917,48.0,0.6875
93,True,G,Manu Ginóbili 2010-11,33,West,18.8085,3.8298,4.8936,0.383,1.766,47.0,0.8511
94,True,G,Joe Johnson 2010-11,29,East,20.1282,4.2564,5.4359,0.1026,0.6923,39.0,0.625
