,Position,Player,Age,Conference,PPG,RPG,APG,BPG,SPG,GP,W%
0,G,Nickeil Alexander-Walker 2019-20,21,West,6.0882,2.1471,1.9412,0.1765,0.2941,34.0,0.3721
1,G,Grayson Allen 2019-20,24,West,7.7407,2.2593,1.4444,0.037,0.2222,27.0,0.4762
2,G,Kadeem Allen 2019-20,27,East,4.8889,0.8889,2.1111,0.2222,0.4444,9.0,0.2619
3,G,Justin Anderson 2019-20,26,East,1.0,0.6667,0.0,0.3333,0.0,3.0,0.45
4,G,Ryan Arcidiacono 2019-20,25,East,3.8974,1.7436,1.5128,0.0513,0.4103,39.0,0.3488
5,G,D.J. Augustin 2019-20,32,East,10.6923,2.4359,4.7179,0.0256,0.6923,39.0,0.4762
6,G,Dwayne Bacon 2019-20,24,East,6.4706,2.5,1.3235,0.0588,0.6176,34.0,0.3409
7,G,Lonzo Ball 2019-20,22,West,12.1714,5.6857,6.2857,0.3714,1.2286,35.0,0.3721
8,G,J.J. Barea 2019-20,35,West,9.1667,1.8333,3.25,0.0833,0.25,12.0,0.6429
9,G,RJ Barrett 2019-20,19,East,14.0976,5.2439,2.4634,0.3902,1.0488,41.0,0.2619
10,G,Will Barton 2019-20,29,West,15.0526,6.8158,3.6842,0.5263,1.1053,38.0,0.7073
11,G,Kent Bazemore 2019-20,30,West,7.907,4.0,1.4186,0.7209,1.0465,43.0,0.4186
12,G,Bradley Beal 2019-20,26,East,27.1765,4.5882,6.3529,0.3235,1.0,34.0,0.3171
13,G,Malik Beasley 2019-20,23,West,7.3226,1.6774,0.9677,0.1613,0.5484,31.0,0.7073
14,G,Marco Belinelli 2019-20,33,West,5.3056,1.5833,1.25,0.0,0.2222,36.0,0.425
15,G,Patrick Beverley 2019-20,31,West,8.2571,6.0571,3.9714,0.6286,1.3429,35.0,0.6977
16,G,Eric Bledsoe 2019-20,30,East,15.2571,4.5714,5.1429,0.5429,0.9143,35.0,0.8605
17,G,Bogdan Bogdanović 2019-20,27,West,14.4667,2.9667,3.6,0.2667,1.0667,30.0,0.3659
18,G,Bojan Bogdanović 2019-20,30,West,21.05,4.2,2.075,0.125,0.6,40.0,0.6829
19,G,Jordan Bone 2019-20,22,East,1.0,0.0,0.75,0.0,0.0,4.0,0.3571
20,G,Isaac Bonga 2019-20,20,East,4.5,3.3333,1.1111,0.3056,0.6667,36.0,0.3171
21,G,Devin Booker 2019-20,23,West,26.2105,3.8947,6.3421,0.2368,0.7895,38.0,0.4146
22,G,Ky Bowman 2019-20,22,West,7.5278,2.5556,2.8889,0.1389,0.9722,36.0,0.2093
23,G,Avery Bradley 2019-20,29,West,7.8519,2.3333,1.1111,0.0741,0.8889,27.0,0.8049
24,G,Mikal Bridges 2019-20,23,West,7.0732,3.8537,1.3659,0.4146,1.3659,41.0,0.4146
25,G,Miles Bridges 2019-20,21,East,12.2727,5.5227,1.8409,0.75,0.6136,44.0,0.3409
26,G,Malcolm Brogdon 2019-20,27,East,17.7,4.5,7.5,0.2,0.8,30.0,0.6429
27,G,Bruce Brown 2019-20,23,East,8.7317,4.3902,3.9024,0.5366,1.2439,41.0,0.3571
28,G,Charlie Brown 2019-20,22,East,2.6,0.8,0.2,0.4,0.0,5.0,0.2381
29,G,Sterling Brown 2019-20,24,East,5.3667,4.0,1.0,0.1333,0.6333,30.0,0.8605
30,G,Troy Brown 2019-20,20,East,10.4737,6.0526,2.0789,0.1053,1.3947,38.0,0.3171
31,G,Jalen Brunson 2019-20,23,West,7.3095,2.3571,3.2381,0.0714,0.4048,42.0,0.6429
32,G,Reggie Bullock 2019-20,28,East,9.875,1.5,1.5,0.0,1.625,8.0,0.2619
33,G,Trey Burke 2019-20,27,East,6.5909,1.5455,2.2727,0.0455,0.3182,22.0,0.6279
34,G,Alec Burks 2019-20,28,West,15.9,4.65,3.1,0.3,1.1,40.0,0.2093
35,G,Deonte Burton 2019-20,26,West,2.125,1.2917,0.375,0.2083,0.125,24.0,0.5476
36,G,Kentavious Caldwell-Pope 2019-20,26,West,9.4878,2.2195,1.8049,0.1951,0.7805,41.0,0.8049
37,G,Jevon Carter 2019-20,24,West,3.4231,1.8462,1.5,0.2692,0.7692,26.0,0.4146
38,G,Vince Carter 2019-20,43,East,4.9143,1.8857,0.9429,0.4,0.3714,35.0,0.2381
39,G,Michael Carter-Williams 2019-20,28,East,5.2105,3.1579,2.0,0.4211,1.0526,19.0,0.4762
40,G,Alex Caruso 2019-20,25,West,5.7105,1.9211,1.7895,0.2632,1.0,38.0,0.8049
41,G,Chris Chiozza 2019-20,24,East,2.7,1.5,2.8,0.2,1.0,10.0,0.3171
42,G,Chris Clemons 2019-20,22,West,5.4583,0.8333,0.75,0.2083,0.25,24.0,0.65
43,G,Antonius Cleveland 2019-20,25,West,1.3333,1.0,0.0,0.0,0.0,3.0,0.6429
44,G,Amir Coffey 2019-20,22,West,2.5,0.0,0.5,0.0,0.0,2.0,0.6977
45,G,Mike Conley 2019-20,32,West,13.5909,3.3182,4.6364,0.1818,0.7273,22.0,0.6829
46,G,Pat Connaughton 2019-20,27,East,4.95,4.225,1.725,0.55,0.3,40.0,0.8605
47,G,Quinn Cook 2019-20,26,West,5.6667,1.2593,1.3704,0.037,0.3333,27.0,0.8049
48,G,Allen Crabbe 2019-20,27,East,5.1071,2.3214,1.0,0.1429,0.5357,28.0,0.2381
49,G,Torrey Craig 2019-20,29,West,3.1071,2.2143,0.6429,0.5,0.3214,28.0,0.7073
50,G,Jarrett Culver 2019-20,20,West,9.525,3.7,2.0,0.65,1.025,40.0,0.3659
51,G,Seth Curry 2019-20,29,West,10.55,1.975,1.75,0.175,0.575,40.0,0.6429
52,G,Stephen Curry 2019-20,31,West,20.25,5.0,6.5,0.5,1.25,4.0,0.2093
53,G,Troy Daniels 2019-20,28,West,4.7419,1.1935,0.3548,0.0645,0.2258,31.0,0.8049
54,G,Terence Davis 2019-20,22,East,7.5122,3.439,1.9024,0.1707,0.561,41.0,0.6585
55,G,Matthew Dellavedova 2019-20,29,East,2.9231,1.2308,2.6667,0.0256,0.3846,39.0,0.2857
56,G,DeMar DeRozan 2019-20,30,West,22.675,5.425,5.15,0.3,1.025,40.0,0.425
57,G,Hamidou Diallo 2019-20,21,West,7.1818,3.2727,0.5909,0.2273,1.0,22.0,0.5476
58,G,Spencer Dinwiddie 2019-20,26,East,22.075,3.175,6.45,0.35,0.725,40.0,0.45
59,G,Donte DiVincenzo 2019-20,23,East,8.9231,4.4615,2.2821,0.2564,1.5385,39.0,0.8605
60,G,Luka Dončić 2019-20,20,West,28.9474,9.7105,8.9737,0.1316,1.0526,38.0,0.6429
61,G,Luguentz Dort 2019-20,20,West,3.2857,1.4286,0.4286,0.0,0.2857,7.0,0.5476
62,G,Damyean Dotson 2019-20,25,East,5.8333,1.8056,1.25,0.1111,0.4167,36.0,0.2619
63,G,PJ Dozier 2019-20,23,West,6.0,2.0,1.0,0.0,0.0,2.0,0.7073
64,G,Goran Dragić 2019-20,33,East,15.4194,2.9355,4.9677,0.2258,0.5484,31.0,0.7073
65,G,Kris Dunn 2019-20,25,East,6.9302,3.5116,3.3023,0.3256,1.9767,43.0,0.3488
66,G,Carsen Edwards 2019-20,21,East,3.2222,1.4444,0.7407,0.0741,0.3333,27.0,0.675
67,G,Wayne Ellington 2019-20,32,East,4.0435,1.6522,1.0,0.087,0.3478,23.0,0.2619
68,G,Jacob Evans 2019-20,22,West,4.4286,1.5714,1.0,0.3333,0.2857,21.0,0.2093
69,G,Terrance Ferguson 2019-20,21,West,5.0556,1.6667,0.9444,0.3333,0.5833,36.0,0.5476
70,G,Yogi Ferrell 2019-20,26,West,4.9667,1.2,1.5667,0.1,0.3333,30.0,0.3659
71,G,Bryn Forbes 2019-20,26,West,11.325,2.35,1.8,0.0,0.525,40.0,0.425
72,G,Evan Fournier 2019-20,27,East,19.0732,2.6098,3.2195,0.1707,1.0488,41.0,0.4762
73,G,De'Aaron Fox 2019-20,22,West,19.2174,4.3913,7.2609,0.5217,1.3913,23.0,0.3659
74,G,Melvin Frazier 2019-20,23,East,1.6364,0.3636,0.0909,0.1818,0.2727,11.0,0.4762
75,G,Michael Frazier 2019-20,25,West,2.5,1.5,0.5,0.0,0.0,2.0,0.65
76,G,Tim Frazier 2019-20,29,East,3.9583,1.2083,3.4583,0.125,0.5417,24.0,0.3571
77,G,Markelle Fultz 2019-20,21,East,11.7073,3.3902,4.6098,0.1951,1.2683,41.0,0.4762
78,G,Langston Galloway 2019-20,28,East,10.1667,2.0952,1.4048,0.1905,0.7143,42.0,0.3571
79,G,Darius Garland 2019-20,20,East,12.2381,1.9524,3.619,0.0,0.7857,42.0,0.2857
80,G,Shai Gilgeous-Alexander 2019-20,21,West,19.9048,5.6905,3.0952,0.4524,1.2143,42.0,0.5476
81,G,Brandon Goodwin 2019-20,24,East,6.4615,2.1538,1.6923,0.2308,0.6154,13.0,0.2381
82,G,Eric Gordon 2019-20,31,West,13.6875,1.9375,1.1875,0.25,0.4375,16.0,0.65
83,G,Devonte' Graham 2019-20,24,East,18.6818,3.6818,7.7045,0.2955,0.8864,44.0,0.3409
84,G,Treveon Graham 2019-20,26,West,5.1818,3.0303,0.9091,0.0606,0.5152,33.0,0.3659
85,G,Josh Gray 2019-20,26,West,1.0,1.0,1.0,0.0,0.0,2.0,0.3721
86,G,Danny Green 2019-20,32,West,8.775,3.625,1.375,0.45,1.175,40.0,0.8049
87,G,Marko Guduric 2019-20,24,West,4.5357,1.9286,1.3571,0.2143,0.3214,28.0,0.4762
88,G,Kyle Guy 2019-20,22,West,0.0,0.0,0.0,0.0,0.0,1.0,0.3659
89,G,Devon Hall 2019-20,24,West,1.0,0.2,0.6,0.0,0.0,5.0,0.5476
90,G,Tim Hardaway 2019-20,27,West,14.4103,2.9487,1.6923,0.1026,0.6154,39.0,0.6429
91,G,James Harden 2019-20,30,West,37.1538,6.2051,7.4615,0.8974,1.6923,39.0,0.65
92,G,Jared Harper 2019-20,22,West,0.0,0.0,0.0,0.0,0.0,1.0,0.4146
93,G,Gary Harris 2019-20,25,West,11.0,2.7568,2.1892,0.2703,1.4595,37.0,0.7073
94,G,Joe Harris 2019-20,28,East,14.025,4.2,2.125,0.3,0.675,40.0,0.45
95,G,Shaquille Harrison 2019-20,26,East,2.6,1.4,1.0,0.2,0.44,25.0,0.3488
96,G,Josh Hart 2019-20,24,West,10.6944,6.0556,1.4444,0.3333,1.0833,36.0,0.3721
97,G,Tyler Herro 2019-20,20,East,13.3947,4.3684,2.1579,0.0789,0.6316,38.0,0.7073
98,G,Buddy Hield 2019-20,27,West,20.2927,5.0488,3.122,0.2927,0.8293,41.0,0.3659
99,G,George Hill 2019-20,33,East,9.95,3.175,3.05,0.1,0.725,40.0,0.8605
